"";"4WHA_C5_S24";"4WHA_C6_S25";"4WHA_C7_S26";"4WHA_C8_S27";"4WHA_H5_S47";"4WHA_H6_S48";"4WHA_H7_S49";"4WHA_H8_S50";"C10_S37";"C7_S34";"C8_S35";"C9_S36";"CV1_H_S28";"CV2_H_S29";"CV3_H_S30";"CV4_H_S31";"CV5_H_S32";"CV6_H_S33";"HA1_H_S38";"HA2_H_S39";"HA3_H_S40";"HA4_H_S41";"HA5_H_S42";"HA6_H_S43";"HA7_H_S44";"HA8_H_S45";"HA9_H_S46";"Pool_control_S51"
"ASV106";"150";"73";"522";"56";"243";"26";"141";"39";"0";"0";"14";"27";"51";"86";"0";"64";"0";"21";"72";"0";"0";"10";"24";"56";"24";"56";"0";"0"
"ASV107";"335";"531";"304";"107";"17";"119";"77";"21";"9";"9";"7";"0";"27";"29";"31";"0";"0";"0";"18";"0";"0";"0";"0";"12";"0";"29";"21";"0"
"ASV108";"56";"94";"0";"516";"135";"248";"54";"124";"0";"24";"0";"0";"0";"0";"40";"38";"0";"284";"0";"27";"0";"20";"26";"0";"0";"0";"0";"0"
"ASV109";"0";"0";"0";"0";"84";"0";"489";"0";"0";"0";"0";"0";"58";"0";"0";"0";"0";"0";"0";"0";"0";"720";"128";"201";"0";"0";"0";"0"
"ASV110";"41";"0";"0";"22";"0";"0";"0";"0";"281";"0";"28";"224";"39";"0";"0";"0";"469";"0";"340";"162";"0";"0";"0";"0";"33";"13";"12";"0"
"ASV111";"212";"426";"0";"220";"179";"0";"170";"19";"0";"7";"18";"0";"16";"0";"39";"49";"0";"0";"101";"124";"0";"0";"0";"0";"25";"48";"0";"0"
"ASV112";"0";"0";"0";"46";"98";"0";"0";"0";"0";"179";"488";"12";"0";"0";"148";"0";"0";"0";"0";"152";"0";"40";"0";"0";"487";"0";"0";"0"
"ASV113";"404";"49";"122";"28";"37";"20";"23";"46";"40";"0";"0";"0";"0";"55";"55";"0";"38";"31";"92";"60";"85";"31";"43";"62";"30";"86";"201";"0"
"ASV114";"17";"27";"463";"126";"58";"14";"342";"47";"92";"13";"0";"39";"0";"0";"33";"18";"25";"35";"48";"31";"0";"70";"0";"0";"24";"57";"51";"0"
"ASV115";"0";"0";"0";"0";"66";"0";"0";"0";"0";"0";"0";"11";"27";"19";"54";"0";"47";"0";"11";"272";"0";"288";"0";"754";"0";"24";"54";"0"
"ASV116";"0";"0";"17";"120";"184";"273";"250";"111";"0";"0";"0";"32";"0";"0";"34";"83";"0";"55";"40";"153";"0";"45";"55";"55";"58";"0";"31";"0"
"ASV117";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"230";"128";"117";"167";"150";"0";"78";"31";"23";"26";"113";"16";"82";"336";"74";"0"
"ASV118";"0";"0";"0";"0";"0";"15";"0";"0";"7";"0";"6";"93";"88";"129";"44";"153";"64";"79";"119";"67";"0";"31";"37";"605";"24";"10";"0";"0"
"ASV119";"0";"0";"0";"0";"0";"0";"0";"0";"71";"25";"98";"78";"130";"218";"36";"184";"115";"57";"62";"0";"0";"104";"118";"200";"0";"46";"0";"0"
"ASV120";"220";"34";"143";"0";"0";"0";"0";"0";"0";"0";"30";"28";"40";"67";"0";"0";"58";"0";"214";"84";"0";"0";"60";"161";"75";"140";"153";"0"
"ASV121";"22";"0";"54";"26";"14";"30";"20";"0";"41";"8";"0";"83";"273";"247";"53";"297";"121";"36";"87";"16";"0";"0";"12";"15";"19";"22";"0";"0"
"ASV122";"1397";"0";"93";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV123";"0";"0";"1212";"0";"0";"12";"233";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV124";"0";"0";"75";"0";"53";"0";"65";"17";"0";"530";"554";"0";"0";"119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0"
"ASV125";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"43";"32";"158";"305";"42";"125";"84";"59";"154";"43";"0";"0";"19";"41";"89";"41";"156";"0"
"ASV126";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"67";"26";"67";"0";"625";"33";"0";"150";"75";"0";"83";"39";"201";"27";"0";"17";"0"
"ASV127";"25";"39";"17";"131";"210";"40";"0";"47";"0";"10";"72";"159";"0";"292";"43";"27";"85";"0";"0";"22";"0";"91";"28";"56";"0";"10";"0";"0"
"ASV128";"39";"95";"574";"0";"171";"20";"165";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"270";"0"
"ASV129";"434";"49";"86";"6";"134";"40";"90";"70";"202";"0";"0";"141";"0";"29";"23";"0";"0";"0";"19";"21";"0";"0";"17";"0";"0";"9";"0";"0"
"ASV130";"494";"0";"127";"0";"41";"28";"34";"0";"35";"0";"0";"0";"0";"0";"0";"0";"33";"0";"88";"52";"0";"40";"69";"55";"0";"104";"166";"0"
"ASV131";"0";"0";"0";"0";"0";"0";"0";"0";"905";"0";"0";"0";"19";"0";"13";"0";"23";"11";"51";"80";"0";"11";"13";"44";"19";"35";"103";"0"
"ASV132";"0";"0";"0";"18";"33";"7";"7";"0";"12";"13";"8";"17";"23";"51";"13";"46";"0";"11";"175";"73";"0";"22";"34";"14";"64";"350";"274";"0"
"ASV133";"376";"0";"0";"61";"105";"12";"105";"0";"65";"69";"57";"114";"0";"47";"59";"0";"0";"0";"60";"0";"0";"0";"0";"0";"32";"46";"0";"0"
"ASV134";"0";"0";"0";"0";"176";"95";"202";"44";"14";"0";"0";"4";"13";"0";"15";"0";"0";"0";"187";"13";"0";"49";"0";"174";"102";"18";"101";"0"
"ASV135";"0";"17";"56";"21";"20";"39";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"0";"0";"265";"45";"65";"27";"84";"54";"143";"199";"125";"0"
"ASV136";"0";"433";"0";"88";"0";"170";"172";"0";"0";"0";"0";"15";"0";"33";"0";"0";"65";"0";"0";"90";"0";"0";"0";"46";"68";"0";"0";"0"
"ASV137";"197";"0";"33";"0";"0";"0";"0";"0";"0";"45";"26";"0";"0";"80";"66";"0";"0";"0";"217";"0";"0";"168";"0";"137";"85";"47";"73";"0"
"ASV138";"0";"0";"0";"0";"30";"0";"0";"0";"6";"95";"59";"24";"16";"146";"140";"38";"65";"39";"213";"10";"0";"43";"41";"90";"26";"41";"43";"0"
