"4WHA_C5_S24","4WHA_C6_S25","4WHA_C7_S26","4WHA_C8_S27","4WHA_H5_S47","4WHA_H6_S48","4WHA_H7_S49","4WHA_H8_S50","C10_S37","C7_S34","C8_S35","C9_S36","CV1_H_S28","CV2_H_S29","CV3_H_S30","CV4_H_S31","CV5_H_S32","CV6_H_S33","HA1_H_S38","HA2_H_S39","HA3_H_S40","HA4_H_S41","HA5_H_S42","HA6_H_S43","HA7_H_S44","HA8_H_S45","HA9_H_S46","Pool_control_S51"
0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,500,314,445,0,93,37,20,0,0,0,85,194,15
331,521,306,106,17,117,77,20,9,9,7,0,27,27,31,0,0,0,17,0,0,0,0,12,0,28,20,0
55,93,0,516,133,247,52,124,0,24,0,0,0,0,37,38,0,285,0,26,0,20,26,0,0,0,0,0
0,0,0,0,83,0,487,0,0,0,0,0,58,0,0,0,0,0,0,0,0,720,127,198,0,0,0,0
215,425,0,222,184,0,168,18,0,0,14,0,16,0,39,48,0,0,103,122,0,0,0,0,26,47,0,0
133,70,506,56,240,26,138,39,0,0,0,0,52,86,29,64,0,20,71,0,0,0,0,55,0,56,0,0
0,0,0,46,97,0,0,0,0,175,487,11,0,0,146,0,0,0,0,149,0,42,0,0,485,0,0,0
41,0,0,22,0,0,0,0,278,0,26,222,36,0,0,0,461,0,337,162,0,0,0,0,32,0,12,0
16,26,459,129,58,13,340,47,92,13,0,36,0,0,33,17,21,35,46,30,0,68,0,0,24,56,46,0
0,0,0,0,64,0,0,0,0,0,0,11,27,19,52,0,46,0,0,259,0,289,0,755,0,24,53,0
0,0,0,0,0,0,0,0,0,17,0,0,225,125,117,166,151,0,74,30,26,26,111,15,81,334,73,0
0,0,0,0,0,15,0,0,7,0,6,91,88,128,44,155,64,79,119,68,0,31,37,603,24,10,0,0
0,0,0,119,187,270,245,110,0,0,0,33,0,0,34,84,0,55,40,152,0,45,55,53,55,0,31,0
391,47,112,27,37,20,24,45,40,0,0,0,0,54,0,0,37,30,87,59,86,33,44,59,29,86,194,0
0,0,0,0,0,0,0,0,72,26,100,80,127,217,37,179,115,57,61,0,0,101,116,196,0,51,0,0
224,34,146,0,0,0,0,0,0,0,31,28,39,65,0,0,57,0,211,84,0,0,59,165,77,136,153,0
22,0,52,26,14,31,21,0,41,0,0,84,274,246,51,300,121,37,86,17,0,0,12,15,19,20,0,0
